baseline,horizon_name,horizon_steps,horizon_seconds,split,sensor,mae_raw,mae_scaled,n_windows
last_value,6s,60,6.0,val,Accelerometer,0.002659835383376065,0.0806750870028641,426150
last_value,6s,60,6.0,val,GasLeak,26.598613516239826,0.07899463610204849,426150
last_value,6s,60,6.0,val,Pressure_1,0.08562928101269193,0.08096288314929366,426150
last_value,6s,60,6.0,val,Pressure_2,0.08575113694439308,0.07973941299036388,426150
last_value,6s,60,6.0,val,Temperature_1,2.9621073986296897,0.08147863906689448,426150
last_value,6s,60,6.0,val,Temperature_2,2.9881090981733105,0.08189138765594606,426150
last_value,6s,60,6.0,val,ALL_MEAN,5.4538117110638815,0.08062367432790178,426150
last_value,6s,60,6.0,test,Accelerometer,0.002645678956914871,0.0802457104543963,426150
last_value,6s,60,6.0,test,GasLeak,26.331622559185238,0.07820170554263466,426150
last_value,6s,60,6.0,test,Pressure_1,0.08684062826505556,0.08210821760599428,426150
last_value,6s,60,6.0,test,Pressure_2,0.08507384311667258,0.07910960195614464,426150
last_value,6s,60,6.0,test,Temperature_1,2.9471710280808128,0.08106778457003039,426150
last_value,6s,60,6.0,test,Temperature_2,2.981180286571555,0.08170149833857768,426150
last_value,6s,60,6.0,test,ALL_MEAN,5.405755670696041,0.080405753077963,426150
last_value,30s,300,30.0,train,Accelerometer,0.009165454797711893,0.2779961000021335,1820700
last_value,30s,300,30.0,train,GasLeak,89.95978912196793,0.2671695951808954,1820700
last_value,30s,300,30.0,train,Pressure_1,0.29878256213874976,0.2825003010582407,1820700
last_value,30s,300,30.0,train,Pressure_2,0.2962820746407233,0.27551073435607915,1820700
last_value,30s,300,30.0,train,Temperature_1,10.120122954158221,0.2783740541872017,1820700
last_value,30s,300,30.0,train,Temperature_2,10.063803695765284,0.27580614451027524,1820700
last_value,30s,300,30.0,train,ALL_MEAN,18.457990977244773,0.276226154882471,1820700
last_value,30s,300,30.0,val,Accelerometer,0.009286307398687325,0.28166166297612477,390150
last_value,30s,300,30.0,val,GasLeak,93.06286154598695,0.2763853415875271,390150
last_value,30s,300,30.0,val,Pressure_1,0.290415826572098,0.27458951369657325,390150
last_value,30s,300,30.0,val,Pressure_2,0.30090025862099296,0.27980515298177056,390150
last_value,30s,300,30.0,val,Temperature_1,10.25052473519661,0.2819610138146015,390150
last_value,30s,300,30.0,val,Temperature_2,10.082076067603804,0.2763069126671468,390150
last_value,30s,300,30.0,val,ALL_MEAN,18.99934412356319,0.278451599620624,390150
last_value,30s,300,30.0,test,Accelerometer,0.009298394723009163,0.28202828188321577,390150
last_value,30s,300,30.0,test,GasLeak,91.26544894817081,0.2710472455246239,390150
last_value,30s,300,30.0,test,Pressure_1,0.2989385603284123,0.2826477980715496,390150
last_value,30s,300,30.0,test,Pressure_2,0.30237932906003717,0.2811805307643097,390150
last_value,30s,300,30.0,test,Temperature_1,10.060953525643582,0.2767464816987869,390150
last_value,30s,300,30.0,test,Temperature_2,10.059017585167444,0.27567497753294845,390150
last_value,30s,300,30.0,test,ALL_MEAN,18.666006057182212,0.2782208859125723,390150
last_value,60s,600,60.0,train,Accelerometer,0.017644601848592314,0.5351758977878144,1610700
last_value,60s,600,60.0,train,GasLeak,171.95552544388116,0.5106869254625798,1610700
last_value,60s,600,60.0,train,Pressure_1,0.5763206001022899,0.544913805777448,1610700
last_value,60s,600,60.0,train,Pressure_2,0.5702756604966035,0.5302955509520461,1610700
last_value,60s,600,60.0,train,Temperature_1,19.47158380391352,0.5356045326222141,1610700
last_value,60s,600,60.0,train,Temperature_2,19.28674757989752,0.5285678905275912,1610700
